steering,left_speed,right_speed
0,10,10
0,20,20
0,30,30
0,40,40
0,50,50
0,60,60
0,70,70
0,80,80
0,90,90
0,100,100
0,100,100
0,100,100
0,100,100
0,90,90
0,80,80
0,70,70
0,60,60
0,50,50
0,40,40
0,30,30
0,20,20
-1,19,20
-2,18,20
-2,26,30
-2,35,40
-2,43,50
-2,52,60
-2,60,70
-2,69,80
-2,78,90
-2,86,100
-2,86,100
-2,86,100
-2,86,100
-3,79,100
-3,71,90
-3,63,80
-3,55,70
-3,48,60
-3,40,50
-3,32,40
-3,24,30
-3,16,20
-3,8,10
-3,0,0
-2,0,0
-1,0,0
-1,10,10
-1,19,20
-1,28,30
-1,38,40
-1,47,50
-1,56,60
-1,65,70
-1,75,80
-1,84,90
-1,93,100
-1,93,100
-1,93,100
-1,93,100
-1,93,100
-1,93,100
-1,84,90
-1,75,80
-1,65,70
-1,56,60
-1,47,50
-1,38,40
-1,28,30
-1,19,20
-1,10,10
-1,0,0
-1,-10,-10
-1,-19,-20
-1,-28,-30
-1,-38,-40
-1,-47,-50
-1,-56,-60
-1,-65,-70
-1,-75,-80
-1,-84,-90
-1,-93,-100
-1,-93,-100
-1,-93,-100
-1,-84,-90
-1,-75,-80
-1,-65,-70
-1,-56,-60
-1,-47,-50
-1,-38,-40
-1,-28,-30
-1,-19,-20
-1,-10,-10
-1,0,0
-1,10,10
-1,19,20
-1,28,30
-1,38,40
-1,47,50
-1,56,60
-1,65,70
-1,75,80
-2,69,80
-2,78,90
-2,86,100
-2,86,100
-2,86,100
-2,86,100
-2,78,90
-2,69,80
-2,60,70
-2,52,60
-2,43,50
-2,35,40
-2,26,30
-2,18,20
-2,9,10
-2,0,0
-2,0,0
-2,0,0
-2,0,0
-2,0,0
